永远的7日之都	网易游戏	1422027人安装	8.2	1.14GB	2018年2月8日	19755	二次元,美少女,高画质,RPG,养成,剧情,角色扮演,3D,多结局,格斗,ACG,AVG,UP主推荐,声优,联网,致郁,中文,虐心,日系,冒险
							
光影对决	杭州电魂网络科技股份有限公司	288845人安装	8.1	377.67MB	2018年2月8日	6127	MOBA,二次元,动作,联机,UP主推荐,动漫,5v5,策略,日系,ACG,漫改,日文,多人
							
命运-冠位指定（Fate/Grand Order）CN	哔哩哔哩游戏	1213897人安装	9.1	378.91MB	2018年1月23日	CN	二次元,卡牌养成,厨向,卡牌,玄学,回合制,动漫,角色扮演,ACG,剧情,厨力,美少女,冒险,联网,中文,收集,经营,日系,英文
							
少女前线	上海散爆网络科技有限公司	584979人安装	9.2	209.47MB	2018年2月6日	4622	二次元,美少女,养成,枪娘,策略,玄学,角色扮演,射击,枪械,ACG,经营,战争,中文
							
疯狂的手机	趣味盒子		9.2	19.77MB	2017年5月19日	5073	益智,单机,脑洞,休闲,解谜,趣味
							
还有这种操作	青豆工作室	3448670人安装	8.8	14.18MB	2018年2月5日	13846	烧脑,有毒,益智,单机,搞笑,文字,休闲,中文,解密
							
物理画线	tinygame		7.9	12.78MB	2017年10月9日	1896	物理,有毒,单机,烧脑,解密
							
艾彼(Abi)	莉莉丝游戏	645863人安装	8.8	122.92MB	2018年2月2日	3451	单机,独立游戏,末日,解谜,解密,BGM好评,中文,益智,治愈,UP主推荐,射击,冒险
							
长生劫-盗墓长生印	北派游戏工作室	763090人安装	9.7	95.82MB	2018年1月30日	20140	生存,单机,盗墓,解谜,独立游戏,RPG,冒险,UP主推荐,文字,策略,中文,角色扮演,重度,竖屏,联网
							
流言侦探	WoodenWolf	776371人安装	9.4	65.37MB	2018年2月1日	9182	推理,悬疑,侦探,互动小说,文字,烧脑,剧情,单机,内购,UP主推荐,中文,解密,益智
							
纪念碑谷2	极光游戏	1475588人安装	9.2	152.29MB	2017年12月25日	9664	唯美,单机,解谜,烧脑,益智,几何,视觉,艺术,治愈,错觉,休闲,冒险,解密,UP主推荐,中文,剧情,竖屏,亲情
							
迷失立方	北京玉米网络科技有限公司	584408人安装	8.6	170.24MB	2018年1月31日	2569	虐心,解谜,烧脑,剧情,单机,唯美,解密,闯关,益智,中文,冒险,催泪,致郁,横版,手绘,解迷,英文
							
如果可以回家早一点	闪电鱼	138088人购买	9.5	58.96MB	2018年2月5日	4979	解谜,像素,付费,剧情,单机,独立游戏,冒险,益智
							
记忆大师	互爱互动（北京）科技有限公司	10208人安装 | 324人预约	7.1	50.19MB	2017年4月21日	66	解密,角色扮演
							
月圆之夜	滴答工作室	1096947人安装	9.4	148.12MB	2018年1月3日	14734	卡牌,单机,策略,回合制,有毒,独立游戏,冒险,竖屏,中文,Roguelike,文字,益智,童话,地牢
							
阴阳师	网易游戏	2211048人安装	6.8	873.93MB	2018年2月12日	20472	卡牌,养成,回合制,二次元,和风,角色扮演,玄学,非酋,收集,CV控,策略,联机,3D,中文,ACG,血统,日文,UP主推荐,阴阳师,剧情
							
召唤与合成	召合网络	145062人安装	9.8	95.99MB	2018年2月7日	4080	卡牌,独立游戏,策略,有毒,消除,三消,UP主推荐,探险
							
命运-冠位指定（Fate/Grand Order）CN	哔哩哔哩游戏	1213897人安装	9.1	378.91MB	2018年1月23日	CN	二次元,卡牌养成,厨向,卡牌,玄学,回合制,动漫,角色扮演,ACG,剧情,厨力,美少女,冒险,联网,中文,收集,经营,日系,英文
							
克鲁赛德战记（心动版）CN	心动网络		9.1	452.47MB	2018年2月1日	CN	像素,RPG,角色扮演,养成,UP主推荐,二次元,联网,卡牌,中文,消除,冒险,收集,多人联机,卡牌养成,ACG,休闲,横版,谷歌,三消
							
迷雾大陆	龙渊网络	95288人安装 | 25521人预约	7.1	118.85MB	2018年2月9日	1253	建造,SLG,养成,卡牌,策略,模拟,收集,放置,联网
							
食之契约CN	食之契约制作委员会	317987人安装	7.5	535.76MB	2018年1月24日	CN	二次元,养成,收集,卡牌,经营,拟人,角色扮演,ACG,冒险,联网
							
Clone Evolution 克隆战争	FT Games	118502人安装	7.6	156.18MB	2018年2月12日	1480	卡牌,放置,美漫,挂机,养成,经营,科幻,收集,恶搞,回合制,幻想,废土,中文,联网
							
部落冲突：皇室战争CN	Supercell	436972人安装	8.6	96.84MB	2017年12月12日	CN	卡牌,策略,联机,全球同服,竖屏,对战,即时,内购,中文,英文
							
卡牌与冒险（测试服）	Rhea Entertainment	27983人关注	7	35.23MB	2018年2月12日	367	卡牌,Roguelike,删档测试,单机
							
电音超跑	掌游天下ZPLAY	742554人安装	7.7	61.71MB	2017年11月10日	2704	音乐,单机,电音,节奏,竞速,炫酷,有毒,跑酷,中文,街机,谷歌,竖屏
							
跳舞的线	Cheetah Games	4069941人安装	9.8	80.37MB	2018年2月10日	42026	音乐,有毒,单机,节奏,唯美,虐心,手残,休闲,虐手,中文,街机,耐心,内购,艺术,娱乐,UP主推荐,竖屏,小清新,英文
							
